Title,Year,My Rating,Director,Rotten Tomatoes,IMDB,,,,,
Avatar: The Last Air Bender,2010,0,"Shyamalan, M. Night",6,41,,,,,
The Room,2003,1,"Wiseau, Tommy",32,37,,,,,
Troll 2,1990,1,"Fragasso, Claudio",6,28,,Movies To Look Out For,Year,,Take Homes:
Star Wars: Attack of the Clones,2002,7,"Lucas, George",66,66,,Dave Made a Maze,2017,,
Star Wars: Revenge of the Sith,2005,10,"Lucas, George",79,76,,Bad Timing,1980,,
Star Wars: The Phantom Menace,1999,10,"Lucas, George",55,65,,Overlord,,,
Suicide Squad,2016,10,"Ayer, David",25,61,,Lady Bird,2017,,Logan
Vampires,1998,15,"Carpenter, John",37,61,,Hereditary,2018,,
Captain America: Civil War,2016,30,"Russo, Anthony",91,78,,The Incredibles 2,2018,,
Good Burger,1997,30,"Robbins, Brian",32,57,,Deadpool 2,2018,,
Bunraku,2010,35,"Moshe, Guy",19,62,,Blue Ruin,,,
The DUFF,2015,40,"Sandel, Ari",71,65,,Blockers,2018,,
TRON,1982,40,"Lisberger, Steven",70,68,,BlackkKlahnsman,,,
Taken,2008,40,"Morel, Pierre",58,78,,Bad Times at the El Royale,2018,,
Half Baked,1989,40,"Davis, Tamra",29,67,,Spiderman: Into the Spiderverse,2018,,
Religulous,2008,42,"Charles, Larry",70,77,,Sorry To Bother You,2018,,
Cashback,2006,42,"Ellis, Sean",46,72,,,,,
Pootie Tang,2001,42,"C.K., Louis",29,52,,,,,
Gasland,2010,45,"Fox, Josh",97,77,,,,,
Futurama: Bender's Game,2008,45,"Carey-Hill, Dwayne",66,85,,,,,
Red Dawn,1984,45,"Milius, John",50,64,,,,,
Central Intelligence,2016,46,"Thurber, Rawson Marshal",69,63,,,,,
Food Inc,2008,50,"Kenner, Robert",96,78,,,,,
In Pot We Trust,2007,50,"Price, Star",82,80,,,,,
Crash,2004,50,"Haggis, Paul",75,78,,,,,
Super High Me,2007,50,"Blieden, Michael",63,61,,,,,
The Boondock Saints,1999,50,"Duffy, Troy",20,78,,,,,
Cars,2006,51,"Lasseter, John",74,71,,,,,
This Film is Not Yet Rated,2006,52,"Dick, Kirby",84,75,,,,,
Outrage,2009,53,"Dick, Kirby",78,53,,,,,
The Offense,1972,54,"Lumet, Sidney",71,70,,,,,
The Twelve Chairs,1970,55,"Brooks, Mel",92,66,,,,,
The Disaster Artist,2017,55,"Franco, James",91,74,,,,,
The Thing From Another World,1951,55,"Hawks, Howard",88,72,,,,,
Clerks,1994,55,"Smith, Kevin",88,78,,,,,
Black Dynamite,2009,55,"Sanders, Scott",84,74,,,,,
Sin City,2005,55,"Miller, Frank",78,80,,,,,
Ong Bak 2,2008,55,"Jaa, Tony",42,62,,,,,
Ong Bak,2005,56,"Pinkaew, Prachya",86,56,,,,,
